name,lat,lon,country,name_slug
Mürzzuschlag,47.6079138,15.6772482,AT,murzzuschlag
Semmering,47.6395943,15.8308831,AT,semmering
Stein-Mautern,48.399412,15.5720601,AT,stein-mautern
Klangen,48.1200588,15.5411759,AT,klangen
Hofstetten-Grünau,48.0965812,15.5076006,AT,hofstetten-grunau
Birkfeld,47.3529562,15.6981653,AT,birkfeld
Oberfeistritz,47.2610397,15.714401,AT,oberfeistritz
Eichberg,47.6721752,15.9110463,AT,eichberg
Ober Grafendorf,48.1520921,15.5398852,AT,ober-grafendorf
Wilhelmsburg an der Traisen,48.1116918,15.6084476,AT,wilhelmsburg-an-der-traisen
Traisen,48.0568811,15.6123079,AT,traisen
Hirschwang,47.7071195,15.816064,AT,hirschwang
Reichenau,47.6980413,15.8393456,AT,reichenau
Dürnstein-Oberloiben,48.3933628,15.5251499,AT,durnstein-oberloiben
Baumgartner,47.7534728,15.8507477,AT,baumgartner
Unterfladnitz,47.1795712,15.6672828,AT,unterfladnitz
Anger,47.270749,15.6989902,AT,anger
Rosegg,47.3016055,15.693509,AT,rosegg
Payerbach Lokalbahn,47.6960879,15.8592977,AT,payerbach-lokalbahn
Hochschneeberg Bergbahnhof,47.7603246,15.8342548,AT,hochschneeberg-bergbahnhof
St. Pölten Hauptbahnhof,48.2082798,15.6246812,AT,st-polten-hauptbahnhof
Tullnerfeld,48.2951469,15.9965244,AT,tullnerfeld
Payerbach-Reichenau,47.696056,15.8632084,AT,payerbach-reichenau
Gloggnitz,47.6776851,15.9471974,AT,gloggnitz
St. Pölten Alpenbahnhof-Kaiserwald,48.1989346,15.6138812,AT,st-polten-alpenbahnhof-kaiserwald
Hadersdorf am Kamp,48.446545,15.7147461,AT,hadersdorf-am-kamp
Krems an der Donau,48.4088718,15.604992,AT,krems-an-der-donau
Absdorf-Hippersdorf,48.4019982,15.9857488,AT,absdorf-hippersdorf
Langenlois,48.4774856,15.6863744,AT,langenlois
Etsdorf-Straß,48.4531106,15.7303084,AT,etsdorf-stra
Fels am Wagram,48.4289861,15.8228666,AT,fels-am-wagram
Kirchberg am Wagram,48.4275339,15.8942341,AT,kirchberg-am-wagram
Sebersdorf,47.188928,15.9990432,AT,sebersdorf
Moosbierbaum-Heiligeneich,48.3060457,15.9009116,AT,moosbierbaum-heiligeneich
Traismauer,48.3479142,15.7455666,AT,traismauer
Viehofen,48.2306506,15.6527846,AT,viehofen
Herzogenburg,48.2765919,15.6964668,AT,herzogenburg
Statzendorf,48.3096216,15.6320309,AT,statzendorf
Paudorf,48.3516816,15.6158303,AT,paudorf
Furth-Palt,48.3846012,15.6057089,AT,furth-palt
Breitenstein,47.6600216,15.8204882,AT,breitenstein
Spital am Semmering,47.6163825,15.7480016,AT,spital-am-semmering
Krieglach,47.5472776,15.5602213,AT,krieglach
Hartberg,47.2814296,15.9852442,AT,hartberg
St. Pölten Alpenbahnhof,48.1984178,15.6129779,AT,st-polten-alpenbahnhof
Prinzersdorf,48.203083,15.5261698,AT,prinzersdorf
Peesen,47.2277778,15.6724301,AT,peesen
Großweikersdorf,48.4690027,15.9762231,AT,groweikersdorf
Kirchstetten,48.190246,15.8216213,AT,kirchstetten
Neulengbach,48.1995335,15.8928106,AT,neulengbach
Schrambach,48.0020385,15.5753128,AT,schrambach
Hainfeld,48.0397197,15.7677023,AT,hainfeld
Mitterdorf-Veitsch,47.5367371,15.5132788,AT,mitterdorf-veitsch
Lilienfeld,48.0137804,15.5933151,AT,lilienfeld
Ortmann,47.8934687,15.9790911,AT,ortmann
Grünbach am Schneeberg,47.7974631,15.9979464,AT,grunbach-am-schneeberg
Gutenstein,47.8769191,15.9108551,AT,gutenstein
Pernitz-Muggendorf,47.8957931,15.9577538,AT,pernitz-muggendorf
Böheimkirchen,48.1999832,15.7538943,AT,boheimkirchen
Rohrbach an der Gölsen,48.0477528,15.7428737,AT,rohrbach-an-der-golsen
St. Veit an der Gölsen,48.0451784,15.6715738,AT,st-veit-an-der-golsen
Rohrbach-Vorau,47.3894098,15.9858163,AT,rohrbach-vorau
Weiz Bahnhof,47.2146561,15.6306138,AT,weiz-bahnhof
Стамболийски,42.1332185,24.5364004,BG,
Банско,41.8439702,23.4902688,BG,
Обеля,42.7406882,23.2761026,BG,
Сарафово,42.5675123,27.492716,BG,
Добринище,41.8254363,23.5622341,BG,
Червен Бряг,43.2822393,24.0789073,BG,
Стадион Васил Левски,42.6861116,23.3324048,BG,
Люлин,42.7179986,23.258081,BG,
Западен парк,42.7116109,23.2697663,BG,
Вардар,42.7059742,23.2848286,BG,
Константин Величков,42.701712,23.2993033,BG,
Кочани,41.9125328,22.4153635,MK,
Мусагеница,42.658552,23.3644139,BG,
Суково,43.0722005,22.6681171,RS,
Жолио Кюри,42.6716025,23.3504925,BG,
Младост 1,42.6529948,23.3733445,BG,1
Тулово,42.5719986,25.554532,BG,
Софийски университет Св. Климент Охридски,42.6919636,23.3349869,BG,
Опълченска,42.6997018,23.311201,BG,
Телиш,43.3305096,24.2527142,BG,
Централна жп гара,42.7107565,23.3205464,BG,
Лъвов мост,42.7056634,23.3238526,BG,
Европейски съюз,42.6795963,23.3214829,BG,
Сердика II,42.6983689,23.3219092,BG,ii
Скутаре,42.1883562,24.8511583,BG,
Варвара,42.1556003,24.1376407,BG,
Белица,41.9175715,23.5796397,BG,
Якоруда,42.0231124,23.6720961,BG,
Разлог,41.880683,23.4731711,BG,
Крумово,42.0935108,24.8189611,BG,
Побит камък,42.6015551,23.6378175,BG,
Баня,42.5420389,24.8454175,BG,
Чешнегирово,42.132507,24.9752548,BG,
Аспарухово,42.9875335,27.3168936,BG,
Поповица,42.1388405,25.0598097,BG,
Раднево,42.2910873,25.9269326,BG,
Куртово Конаре,42.0953506,24.4918295,BG,
Кричим,42.0603575,24.4648953,BG,
Раждавица,42.3797276,22.7067872,BG,
Софийска Света гора,42.6763909,23.4101891,BG,
Александър Малинов,42.6474291,23.3765832,BG,
Акад. Александър Теодоров-Балан,42.6406942,23.3730067,BG,
Интер Експо Център - Цариградско шосе,42.649612,23.3936381,BG,
Бизнес парк София,42.6293908,23.3731599,BG,
Венчан,43.233157,27.3903924,BG,
Павликени,43.233114,25.3015802,BG,
Суворово,43.33405,27.5851501,BG,
Кубратово,42.7759962,23.3602106,BG,
Ловеч - Север,43.1687408,24.7301447,BG,
Летница,43.3162555,25.0592785,BG,
Долно село,42.2986157,22.4967535,MK,
Костандово,42.0356741,24.0704378,BG,
Цветино,42.0114477,23.8680613,BG,
Септември,42.2040862,24.1317263,BG,
Стрелча,42.4928896,24.3309607,BG,
Разменна,42.7109939,23.0282681,BG,
Младост 3,42.6465261,23.3837288,BG,3
Калояново,42.3341979,24.7555724,BG,
Труд,42.2302308,24.7239101,BG,
