agency,country,rows,unique_stops,share_pct,is_home_country
DB,Germany,128875,375,32.05,True
DB,Switzerland,53416,222,18.97,False
DB,Austria,72095,209,17.86,False
DB,Poland,6905,74,6.32,False
DB,Italy,3538,50,4.27,False
DB,Hungary,4174,41,3.5,False
DB,Slovenia,3150,36,3.08,False
DB,Czech Republic,5065,33,2.82,False
DB,France,1234,22,1.88,False
DB,Netherlands,2404,19,1.62,False
DB,Denmark,1697,17,1.45,False
DB,Romania,102,17,1.45,False
DB,Sweden,265,16,1.37,False
DB,Luxembourg,210,11,0.94,False
DB,Belgium,1170,9,0.77,False
DB,Croatia,311,7,0.6,False
DB,Ukraine,34,7,0.6,False
DB,Slovakia,266,5,0.43,False
DK,Denmark,806207,518,90.72,True
DK,Sweden,24168,29,5.08,False
DK,Germany,2509,20,3.5,False
DK,Czech Republic,84,4,0.7,False
EST,Germany,309,10,47.62,True
EST,France,520,4,19.05,False
EST,Belgium,656,3,14.29,False
EST,Netherlands,487,3,14.29,False
EST,United Kingdom,174,1,4.76,False
FR,France,1086021,3330,95.63,True
FR,Germany,13117,64,1.84,False
FR,Switzerland,43184,47,1.35,False
FR,Belgium,6514,19,0.55,False
FR,Luxembourg,5290,8,0.23,False
FR,Italy,1200,6,0.17,False
FR,Spain,358,4,0.11,False
FR,Netherlands,1439,3,0.09,False
FR,United Kingdom,781,1,0.03,False
GTFSDE,Germany,6917139,6630,95.3,True
GTFSDE,Austria,29897,123,1.77,False
GTFSDE,Switzerland,46342,104,1.49,False
GTFSDE,Czech Republic,1184,24,0.34,False
GTFSDE,France,1581,16,0.23,False
GTFSDE,Netherlands,3843,15,0.22,False
GTFSDE,Poland,1681,14,0.2,False
GTFSDE,Denmark,1040,11,0.16,False
GTFSDE,Italy,45,11,0.16,False
GTFSDE,Belgium,501,9,0.13,False
HU,Hungary,723264,1174,81.41,True
HU,Romania,4312,80,5.55,False
HU,Austria,3350,42,2.91,False
HU,Poland,453,40,2.77,False
HU,Croatia,594,21,1.46,False
HU,Czech Republic,984,21,1.46,False
HU,Slovenia,735,19,1.32,False
HU,Germany,349,18,1.25,False
HU,Slovakia,933,8,0.55,False
HU,Ukraine,357,7,0.49,False
HU,Serbia,720,6,0.42,False
HU,Switzerland,67,6,0.42,False
IT,Italy,1489694,2236,99.51,True
IT,France,619,6,0.27,False
IT,Switzerland,3031,4,0.18,False
IT,Belgium,75,1,0.04,False
NMBS,Belgium,536640,554,88.92,True
NMBS,Luxembourg,18381,24,3.85,False
NMBS,France,3999,16,2.57,False
NMBS,Germany,1087,12,1.93,False
NMBS,Netherlands,4084,11,1.77,False
NMBS,Austria,60,6,0.96,False
NS,Netherlands,823092,396,76.45,True
NS,Germany,29479,87,16.8,False
NS,Belgium,11943,20,3.86,False
NS,France,415,10,1.93,False
NS,Switzerland,45,4,0.77,False
NS,Czech Republic,7,1,0.19,False
OEBB,Austria,369066,1008,72.0,True
OEBB,Germany,11295,126,9.0,False
OEBB,Italy,2079,54,3.86,False
OEBB,Hungary,2926,45,3.21,False
OEBB,Poland,1911,40,2.86,False
OEBB,Czech Republic,2847,37,2.64,False
OEBB,Slovenia,1706,36,2.57,False
OEBB,Switzerland,2469,19,1.36,False
OEBB,Romania,136,17,1.21,False
OEBB,Croatia,159,7,0.5,False
OEBB,Belgium,21,3,0.21,False
OEBB,Netherlands,96,3,0.21,False
OEBB,Slovakia,783,3,0.21,False
OEBB,Ukraine,48,2,0.14,False
PL,Poland,56859,440,98.88,True
PL,Czech Republic,170,4,0.9,False
PL,Germany,20,1,0.22,False
SBB,Switzerland,1568860,3284,91.32,True
SBB,France,11764,146,4.06,False
SBB,Germany,23666,124,3.45,False
SBB,Italy,2293,33,0.92,False
SBB,Austria,990,7,0.19,False
SBB,Luxembourg,14,1,0.03,False
SBB,Sweden,485,1,0.03,False
