agency,deutscheBahnStopId,stopName,country,locality_note
OEBB,911126,Wien Geiselbergstraße Bahnhst (Leberstraße),Austria,Vienna
OEBB,911147,Wien Zentralfriedhof Bahnhst (Mylius-Bluntschli-Straße),Austria,Vienna
OEBB,324218,Mannswörth Bahnhst (B9),Austria,"Mannswörth, part of Schwechat, Lower Austria"
OEBB,324232,Schwechat Brauerei,Austria,"Schwechat, Lower Austria"
OEBB,324433,Flughafen Wien Bahnhof (Charterbus-Terminal),Austria,"Vienna Airport, Schwechat, Lower Austria"
OEBB,903026,Wien Marxergasse,Austria,Vienna
OEBB,903027,Wien St.Marx Bahnhst (Rennweg),Austria,Vienna
OEBB,903079,Wien Rennweg Bahnhst (Ungargasse),Austria,Vienna
OEBB,324013,Himberg b.Wien Hauptplatz,Austria,"Himberg, Lower Austria"
OEBB,324209,Lanzendorf b.Wien-Rannersdorf Bahnhst (Untere Hauptstraße),Austria,"Lanzendorf/Rannersdorf, Lower Austria"
OEBB,324251,Kledering Bahnhofsplatz,Austria,"Kledering, part of Schwechat, Lower Austria"
OEBB,911038,Wien Grillgasse Bahnhst (Gadnergasse),Austria,Vienna
OEBB,910093,Wien Oberlaa (Laaer-Berg-Straße Süd),Austria,Vienna (Oberlaa district)
OEBB,793397,Scharnitz Bahnhof (Vorplatz),Austria,"Scharnitz, Tyrol"
OEBB,793289,Seefeld in Tirol Bahnhof (Terminal),Austria,"Seefeld in Tirol, Tyrol"
OEBB,793300,Leithen b.Reith Gh Hirschen,Austria,"near Reith bei Seefeld, Tyrol"
OEBB,793299,Reith b.Seefeld Gemeindeamt,Austria,"Reith bei Seefeld, Tyrol"
OEBB,793395,Gießenbach Abzw Bahnhst,Austria,"Gießenbach, part of Scharnitz, Tyrol"
OEBB,692052,Bruck/Mur Bahnhof (Busbahnhof),Austria,"Bruck an der Mur, Styria"
OEBB,611008,Leoben Fichtlplatz (Kärntner Straße),Austria,"Leoben, Styria"
OEBB,611004,Niklasdorf Proleber Straße,Austria,"Niklasdorf, Styria"
OEBB,197055,Bruck/Leitha Bahnhof (Bahnhofplatz),Austria,"Bruck an der Leitha, Lower Austria"
OEBB,793579,Zirl Abzw Hochzirl,Austria,"Zirl/Hochzirl, Tyrol"
OEBB,791018,Innsbruck Technik (Südtiroler-/Europaheim),Austria,"Innsbruck, Tyrol"
OEBB,791115,Innsbruck MED-EL,Austria,"Innsbruck, Tyrol"
