stopName,stopName_slug,country,sncf_station_label,match_source,match_note,auto_match_score
Antwerpen-Centraal,antwerpen-centraal,Belgium,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Brussels Midi / Zuid,brussels-midi-zuid,Belgium,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Bruxelles Midi,bruxelles-midi,Belgium,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Liege-Guillemins,liege-guillemins,Belgium,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Agen,agen,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Aix-en-Provence TGV,aix-en-provence-tgv,France,AIX EN PROVENCE TGV,auto,,1.0
Aix-en-Provence-TGV,aix-en-provence-tgv,France,AIX EN PROVENCE TGV,auto,,1.0
Aix-les-Bains le Revard,aix-les-bains-le-revard,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.2857142857142857
Ancenis,ancenis,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Angers Saint-Laud,angers-saint-laud,France,ANGERS SAINT LAUD,auto,,1.0
Annecy,annecy,France,ANNECY,auto,,1.0
Annemasse,annemasse,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Antibes,antibes,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Arcachon,arcachon,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.0
Arras,arras,France,ARRAS,auto,,1.0
Avignon Centre,avignon-centre,France,,manual,"different station from Avignon TGV (~4km apart), not in the SNCF file",0.5
Avignon-TGV,avignon-tgv,France,AVIGNON TGV,auto,,1.0
Aéroport Charles de Gaulle 2 TGV,aeroport-charles-de-gaulle-2-tgv,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.2857142857142857
Bar-le-Duc,bar-le-duc,France,,unmatched,"no SNCF equivalent found (outside SNCF's TGV/Lyria reporting scope, or a country/brand this file doesn't cover)",0.4
